,game_id,team_id,team_name,home_away_indictor,opp_id,opp_name,player,MIN,FGM,FGA,TREY_M,TREY_A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0,400813779,2305,Kansas,home,2458,Northern Colorado,J. Traylor,21,2,3,0,0,4,4,2,5,7,3,0,0,0,2,8
1,400813779,2305,Kansas,home,2458,Northern Colorado,P. Ellis,20,5,7,0,1,6,6,0,2,2,0,0,0,1,2,16
2,400813779,2305,Kansas,home,2458,Northern Colorado,F. Mason III,23,3,6,3,3,2,2,1,3,4,9,1,0,2,2,11
3,400813779,2305,Kansas,home,2458,Northern Colorado,W. Selden Jr.,23,4,8,3,6,4,5,0,1,1,4,0,0,1,2,15
4,400813779,2305,Kansas,home,2458,Northern Colorado,D. Graham,24,3,11,2,6,5,6,0,3,3,8,3,0,1,3,13
5,400813779,2305,Kansas,home,2458,Northern Colorado,C. Bragg Jr.,17,3,6,0,1,1,2,1,2,3,0,1,0,3,3,7
6,400813779,2305,Kansas,home,2458,Northern Colorado,C. Young,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7,400813779,2305,Kansas,home,2458,Northern Colorado,L. Lucas,9,3,5,0,0,2,4,1,2,3,1,0,0,2,4,8
8,400813779,2305,Kansas,home,2458,Northern Colorado,H. Mickelson,13,1,2,0,0,0,0,1,6,7,0,1,3,0,2,2
9,400813779,2305,Kansas,home,2458,Northern Colorado,E. Manning,3,1,1,1,1,0,0,0,1,1,0,0,0,1,2,3
10,400813779,2305,Kansas,home,2458,Northern Colorado,T. Self,3,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0
11,400813779,2305,Kansas,home,2458,Northern Colorado,B. Greene,14,6,6,5,5,1,2,1,1,2,1,1,0,1,0,18
12,400813779,2305,Kansas,home,2458,Northern Colorado,S. Mykhailiuk,16,2,3,1,2,0,1,0,0,0,0,0,1,0,0,5
13,400813779,2305,Kansas,home,2458,Northern Colorado,L. Vick,11,1,2,0,1,1,2,0,0,0,0,0,0,1,0,3
14,400809204,2305,Kansas,away,127,Michigan State,J. Traylor,18,1,1,0,0,4,4,3,4,7,0,0,0,0,4,6
15,400809204,2305,Kansas,away,127,Michigan State,P. Ellis,34,9,18,1,2,2,5,3,3,6,0,1,0,0,0,21
16,400809204,2305,Kansas,away,127,Michigan State,F. Mason III,34,5,15,0,3,4,6,0,5,5,3,3,0,1,2,14
17,400809204,2305,Kansas,away,127,Michigan State,W. Selden Jr.,27,3,12,2,6,4,4,1,0,1,1,2,0,2,3,12
18,400809204,2305,Kansas,away,127,Michigan State,D. Graham,38,1,9,0,4,2,2,0,2,2,4,1,0,1,0,4
19,400809204,2305,Kansas,away,127,Michigan State,C. Bragg Jr.,11,2,2,0,0,0,0,0,0,0,0,0,0,0,1,4
20,400809204,2305,Kansas,away,127,Michigan State,L. Lucas,14,1,5,0,0,0,1,1,6,7,1,0,0,1,2,2
21,400809204,2305,Kansas,away,127,Michigan State,H. Mickelson,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
22,400809204,2305,Kansas,away,127,Michigan State,B. Greene,9,0,0,0,0,6,6,0,0,0,1,0,0,0,2,6
23,400809204,2305,Kansas,away,127,Michigan State,S. Mykhailiuk,12,1,4,0,0,2,2,0,1,1,2,0,1,0,3,4
24,400809204,127,Michigan State,home,2305,Kansas,M. Costello,25,4,7,0,1,2,2,3,6,9,2,0,1,1,5,10
25,400809204,127,Michigan State,home,2305,Kansas,J. Bess,15,3,4,0,0,0,0,0,1,1,0,1,2,2,4,6
26,400809204,127,Michigan State,home,2305,Kansas,B. Forbes,29,4,8,3,6,2,2,0,1,1,0,0,0,2,2,13
27,400809204,127,Michigan State,home,2305,Kansas,D. Valentine,38,10,23,3,9,6,8,1,11,12,12,0,0,1,1,29
28,400809204,127,Michigan State,home,2305,Kansas,L. Nairn Jr.,15,1,5,0,0,0,0,0,0,0,2,0,0,1,1,2
29,400809204,127,Michigan State,home,2305,Kansas,D. Davis,23,1,2,0,0,2,2,2,4,6,0,0,2,0,3,4
30,400809204,127,Michigan State,home,2305,Kansas,C. Wollenman,13,1,2,0,0,2,2,3,3,6,3,0,1,3,2,4
31,400809204,127,Michigan State,home,2305,Kansas,K. Goins,4,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0
32,400809204,127,Michigan State,home,2305,Kansas,E. Harris,10,1,4,0,2,0,0,0,0,0,0,0,0,2,3,2
33,400809204,127,Michigan State,home,2305,Kansas,A. Ellis III,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,400809204,127,Michigan State,home,2305,Kansas,M. McQuaid,22,3,5,3,3,0,0,0,1,1,1,0,1,1,3,9
35,400809204,127,Michigan State,home,2305,Kansas,K. Ahrens,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,400827284,2305,Kansas,away,-1,Chaminade,J. Traylor,14,2,2,0,0,0,0,1,2,3,1,2,3,1,3,4
37,400827284,2305,Kansas,away,-1,Chaminade,P. Ellis,24,4,8,0,0,3,6,3,5,8,1,0,0,0,2,11
38,400827284,2305,Kansas,away,-1,Chaminade,F. Mason III,26,5,9,1,3,3,3,2,4,6,7,1,0,2,2,14
39,400827284,2305,Kansas,away,-1,Chaminade,W. Selden Jr.,24,7,11,4,6,0,1,1,4,5,7,1,1,4,3,18
40,400827284,2305,Kansas,away,-1,Chaminade,D. Graham,28,6,10,3,5,0,0,0,3,3,3,2,0,0,1,15
41,400827284,2305,Kansas,away,-1,Chaminade,C. Bragg Jr.,12,4,5,0,0,1,1,0,6,6,2,0,0,1,1,9
42,400827284,2305,Kansas,away,-1,Chaminade,C. Young,3,0,0,0,0,1,2,0,1,1,0,0,0,0,1,1
43,400827284,2305,Kansas,away,-1,Chaminade,L. Lucas,17,4,4,0,0,5,6,4,8,12,4,1,1,3,0,13
44,400827284,2305,Kansas,away,-1,Chaminade,H. Mickelson,12,5,5,0,0,1,1,0,0,0,1,1,2,0,1,11
45,400827284,2305,Kansas,away,-1,Chaminade,E. Manning,3,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3
46,400827284,2305,Kansas,away,-1,Chaminade,T. Self,3,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0
47,400827284,2305,Kansas,away,-1,Chaminade,S. Mykhailiuk,19,6,12,6,11,0,0,1,2,3,3,1,0,1,2,18
48,400827284,2305,Kansas,away,-1,Chaminade,L. Vick,15,3,5,0,2,0,0,0,2,2,2,0,0,2,0,6
49,400853709,2305,Kansas,away,26,UCLA,J. Traylor,20,2,4,0,0,2,2,1,3,4,2,0,0,1,3,6
50,400853709,2305,Kansas,away,26,UCLA,P. Ellis,27,9,12,2,3,4,4,3,3,6,1,0,0,0,1,24
51,400853709,2305,Kansas,away,26,UCLA,F. Mason III,31,4,7,0,2,8,9,0,5,5,7,2,0,0,1,16
52,400853709,2305,Kansas,away,26,UCLA,W. Selden Jr.,33,5,8,4,5,1,1,1,0,1,3,1,0,1,1,15
53,400853709,2305,Kansas,away,26,UCLA,D. Graham,25,4,8,1,2,0,0,0,2,2,3,3,0,1,3,9
54,400853709,2305,Kansas,away,26,UCLA,C. Bragg Jr.,10,1,2,0,0,0,1,0,4,4,0,0,1,0,1,2
55,400853709,2305,Kansas,away,26,UCLA,C. Young,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,400853709,2305,Kansas,away,26,UCLA,L. Lucas,13,1,2,0,0,2,2,1,4,5,0,0,0,1,3,4
57,400853709,2305,Kansas,away,26,UCLA,H. Mickelson,10,0,1,0,0,0,0,0,2,2,1,0,0,0,4,0
58,400853709,2305,Kansas,away,26,UCLA,E. Manning,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,400853709,2305,Kansas,away,26,UCLA,T. Self,2,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0
60,400853709,2305,Kansas,away,26,UCLA,S. Mykhailiuk,22,5,13,2,9,1,2,1,3,4,2,0,1,2,2,13
61,400853709,2305,Kansas,away,26,UCLA,L. Vick,4,1,1,1,1,0,0,0,0,0,0,0,0,1,0,3
62,400853777,238,Vanderbilt,away,2305,Kansas,L. Kornet,29,5,12,2,7,2,2,2,2,4,1,1,4,1,1,14
63,400853777,238,Vanderbilt,away,2305,Kansas,D. Jones,34,5,7,0,1,7,10,2,8,10,2,0,3,4,4,17
64,400853777,238,Vanderbilt,away,2305,Kansas,W. Baldwin IV,35,5,12,1,3,0,1,1,1,2,2,1,0,1,5,11
65,400853777,238,Vanderbilt,away,2305,Kansas,R. LaChance,27,3,7,1,3,0,0,1,3,4,1,0,0,1,4,7
66,400853777,238,Vanderbilt,away,2305,Kansas,J. Roberson,15,0,2,0,1,0,0,0,1,1,2,0,1,1,2,0
67,400853777,238,Vanderbilt,away,2305,Kansas,J. Henderson,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,400853777,238,Vanderbilt,away,2305,Kansas,N. Cressler,21,2,6,1,5,0,0,0,4,4,1,0,0,1,4,5
69,400853777,238,Vanderbilt,away,2305,Kansas,C. Justice,19,3,6,1,4,2,2,0,3,3,0,2,0,1,0,9
70,400853777,2305,Kansas,home,238,Vanderbilt,J. Traylor,28,1,3,0,0,1,2,0,4,4,0,0,0,2,2,3
71,400853777,2305,Kansas,home,238,Vanderbilt,P. Ellis,26,1,8,0,2,3,4,1,7,8,2,0,0,3,2,5
72,400853777,2305,Kansas,home,238,Vanderbilt,F. Mason III,34,4,13,0,1,2,3,0,5,5,3,0,0,1,0,10
73,400853777,2305,Kansas,home,238,Vanderbilt,W. Selden Jr.,40,8,11,4,6,5,10,1,6,7,0,1,1,0,0,25
74,400853777,2305,Kansas,home,238,Vanderbilt,D. Graham,34,4,9,3,5,1,2,1,5,6,1,1,0,1,2,12
75,400853777,2305,Kansas,home,238,Vanderbilt,C. Bragg Jr.,9,2,2,0,0,0,1,1,1,2,1,2,0,1,2,4
76,400853777,2305,Kansas,home,238,Vanderbilt,L. Lucas,14,2,3,0,0,0,0,2,2,4,0,0,0,1,3,4
77,400853777,2305,Kansas,home,238,Vanderbilt,H. Mickelson,4,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0
78,400853777,2305,Kansas,home,238,Vanderbilt,S. Mykhailiuk,11,3,5,1,2,0,0,1,0,1,1,1,0,2,0,7
79,400813780,2305,Kansas,home,2352,Loyola (MD),J. Traylor,14,1,2,0,0,0,2,2,4,6,0,0,1,0,1,2
80,400813780,2305,Kansas,home,2352,Loyola (MD),P. Ellis,20,5,9,1,1,4,7,2,4,6,0,1,0,1,1,15
81,400813780,2305,Kansas,home,2352,Loyola (MD),F. Mason III,30,4,13,2,5,0,1,1,5,6,5,4,0,1,1,10
