,game_id,team_id,team_name,home_away_indictor,opp_id,opp_name,player,MIN,FGM,FGA,TREY_M,TREY_A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
0,400910559,333,Alabama,away,8,Arkansas,B. Olaniyan,20,2,3,0,0,1,1,3,6,9,0,0,0,3,3,5
1,400910559,333,Alabama,away,8,Arkansas,D. Hall,27,3,6,0,0,0,1,3,3,6,2,0,0,0,3,6
2,400910559,333,Alabama,away,8,Arkansas,B. Key,31,2,8,2,4,6,8,1,3,4,2,2,0,4,4,12
3,400910559,333,Alabama,away,8,Arkansas,R. Norris,24,3,5,2,4,0,0,1,2,3,0,2,0,2,2,8
4,400910559,333,Alabama,away,8,Arkansas,D. Ingram,23,5,7,1,1,3,4,0,3,3,1,0,0,3,3,14
5,400910559,333,Alabama,away,8,Arkansas,J. Taylor,14,2,4,0,0,2,2,0,0,0,1,0,0,0,2,6
6,400910559,333,Alabama,away,8,Arkansas,A. Davis,16,2,7,0,3,6,6,0,3,3,0,0,2,1,0,10
7,400910559,333,Alabama,away,8,Arkansas,C. Collins,23,1,4,0,3,0,1,1,2,3,4,0,0,3,3,2
8,400910559,333,Alabama,away,8,Arkansas,A. Johnson Jr.,19,1,8,1,2,0,0,0,1,1,1,0,0,1,2,3
9,400910559,333,Alabama,away,8,Arkansas,L. Schaffer,3,0,1,0,1,2,2,0,1,1,2,0,0,0,0,2
10,400910559,333,Alabama,away,8,Arkansas,TEAM,,21,53,6,18,20,25,11,25,36,13,4,2,18,22,68
0,400910559,8,Arkansas,home,333,Alabama,M. Kingsley,27,2,4,0,0,11,12,1,5,6,1,2,2,2,3,15
1,400910559,8,Arkansas,home,333,Alabama,A. Cook,11,1,1,0,0,0,0,1,0,1,0,0,0,2,3,2
2,400910559,8,Arkansas,home,333,Alabama,A. Beard,27,2,8,1,4,0,0,1,3,4,2,1,0,3,1,5
3,400910559,8,Arkansas,home,333,Alabama,J. Barford,27,6,12,0,3,1,3,2,3,5,4,1,0,1,0,13
4,400910559,8,Arkansas,home,333,Alabama,D. Macon,27,4,8,3,4,1,1,0,1,1,4,0,0,1,2,12
5,400910559,8,Arkansas,home,333,Alabama,A. Bailey,11,3,3,0,0,1,3,1,2,3,0,1,1,0,3,7
6,400910559,8,Arkansas,home,333,Alabama,T. Thompson,11,0,0,0,0,0,0,1,1,2,3,1,1,0,2,0
7,400910559,8,Arkansas,home,333,Alabama,D. Thomas,13,1,4,0,0,0,2,2,3,5,1,2,0,0,5,2
8,400910559,8,Arkansas,home,333,Alabama,B. Hazen,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
