Seed,Team,Rd2,Swt16,Elite8,Final4,Final,Champ,1 in
1S,Kansas,96.9,75.5,57.4,37.3,25.8,15.2,7
1MW,Virginia,96.2,77.9,54.5,34.2,21.4,13.2,8
2MW,Michigan St.,92.2,75,55.8,32.4,19.8,11.9,8
1E,North Carolina,95.6,76.6,48.4,32.3,17.6,10.3,10
2S,Villanova,89.9,63.3,40.3,21.9,13.8,7.2,14
2W,Oklahoma,83.7,61.6,37.3,22.6,10.9,5.1,19
1W,Oregon,95.6,65,41.5,23,10.6,4.7,21
3E,West Virginia`,70.1,52.9,34.5,17.5,8.4,4.4,23
4E,Kentucky,83.2,51.9,25.8,15.4,7.2,3.6,27
2E,Xavier,86.4,55.7,29.5,12.5,5,2.2,46
5MW,Purdue,71.4,43.1,18.4,9,4.3,2,49
3W,Texas AM,83.6,46.5,24.2,12.8,5.2,2,49
6W,Texas,76.4,42.8,22.5,12,5,2,51
3S,Miami FL,86.7,44.8,20.3,8.7,4.4,1.8,56
5E,Indiana,81.9,40,17.3,9.1,3.7,1.6,62
4MW,Iowa St,75.2,39,15.2,6.8,3,1.3,79
4W,Duke,72.3,39.9,18.7,8.6,3.2,1.1,89
6S,Arizona,51.5,27.7,12.3,5.1,2.6,1,99
7S,Iowa,76.2,29.9,14.4,5.7,2.7,1,99
4S,California,68.8,39.3,13.5,5.6,2.6,0.9,109
5W,Baylor,60.7,33.5,15.4,6.9,2.5,0.9,116
5S,Maryland,72.6,39.9,13.4,5.4,2.4,0.9,117
11S,Wichita St.,30.6,17.1,7.9,3.5,1.8,0.7,135
6MW,Seton Hall,51.4,30.2,11.1,4,1.5,0.6,176
9S,Connecticut,65.1,18,9.5,3.8,1.7,0.6,178
3MW,Utah,75.2,36.1,12.5,4.2,1.5,0.5,190
11MW,Gonzaga,48.6,27.9,9.9,3.4,1.3,0.5,217
9W,Cincinnati,54.5,19.8,9.4,3.7,1.1,0.3,294
7E,Wisconsin,56.2,24.6,10.2,3.2,1,0.3,323
10W,VCU,58.8,20.9,8.3,3.3,0.9,0.3,389
14E,S. F. Austin,29.9,17,7.7,2.4,0.7,0.2,437
11S,Vanderbilt,17.9,8.5,3.2,1.2,0.5,0.2,593
8W,Saint Joseph's,45.5,14.8,6.4,2.3,0.6,0.2,616
6E,Notre Dame,56.1,18.1,7.4,2.1,0.5,0.2,640
12W,Yale,39.3,17.6,6.3,2.2,0.6,0.2,648
10MW,Syracuse,54.7,13.3,5.7,1.5,0.5,0.1,775
10E,Pittsburgh,43.8,16.7,6,1.6,0.4,0.1,911
9MW,Butler,50.5,11,4,1.2,0.4,0.1,946
8MW,Texas Tech,49.5,10.6,3.8,1.2,0.3,0.1,1040
9E,Providence,50.4,11.5,3.6,1.3,0.3,0.08,1203
8E,USC,49.6,11.2,3.5,1.2,0.3,0.08,1291
12MW,Little Rock,28.6,11.2,2.7,0.8,0.2,0.06,1688
7MW,Dayton,45.3,9.7,3.7,0.9,0.2,0.06,1762
7W,Oregon St,41.2,11.8,3.7,1.2,0.3,0.06,1785
8S,Colorado,34.9,6.2,2.3,0.6,0.2,0.04,2431
13S,Hawaii,31.2,12,2.4,0.6,0.2,0.04,2857
11E,Michigan,15.6,4.3,1.6,0.4,0.08,0.02,4826
13W,UNC Wilmington,27.7,9,2.3,0.6,0.1,0.02,4991
11W,Northern Iowa,23.6,7.1,1.9,0.5,0.1,0.02,5878
12S,South Dakota St,27.4,8.8,1.5,0.3,0.08,0.01,7636
13MW,Iona,24.8,6.7,1.3,0.3,0.06,0.01,8175
15W,CSU Bakersfield,16.3,5.7,1.4,0.3,0.05,0.008,12099
10S,Temple,23.8,4.5,1,0.2,0.04,0.007,14716
13E,Stony Brook,16.8,4.6,0.9,0.2,0.03,0.006,16711
14MW,Fresno St,24.8,5.8,0.9,0.1,0.02,0.004,28060
12E,Chattanooga,18.1,3.5,0.6,0.1,0.02,0.003,39734
14W,Green Bay,16.4,3.5,0.7,0.1,0.02,0.002,53696
15S,UNC Asheville,10.1,2.4,0.4,0.05,0.009,0.001,92658
15MW,Middle Tennessee,7.8,2.1,0.4,0.05,0.007,0.0008,125807
15E,Weber St,13.6,3,0.5,0.06,0.006,0.0006,155401
14S,Buffalo,13.3,1.9,0.2,0.03,0.004,0.0004,254089
16E,FCGU,3.6,0.7,0.06,0.008,0.0005,0,2326796
16MW,Hampton,3.8,0.5,0.05,0.004,0.0003,0,6074497
16S,Austin Peay,3.1,0.3,0.03,0.002,0.0002,0,13507853
16W,Southern,3,0.3,0.03,0.002,0,0,27493818
16W,Holy Cross,1.4,0.1,0.006,0.0003,0,0,355082632
16E,F. Dickinson,0.8,0.07,0.004,0.0002,0,0,367858599
