espn_name,kenpom_name,adj_em
Akron Zips,Akron,12.8
Alabama Crimson Tide,Alabama,25.72
Arizona Wildcats,Arizona,37.66
Arkansas Razorbacks,Arkansas,26.05
BYU Cougars,BYU,23.25
California Baptist Lancers,Cal Baptist,5.99
Clemson Tigers,Clemson,19.24
Duke Blue Devils,Duke,38.9
Florida Gators,Florida,33.79
Furman Paladins,Furman,-1.98
Georgia Bulldogs,Georgia,20.48
Gonzaga Bulldogs,Gonzaga,28.1
Hawai'i Rainbow Warriors,Hawaii,5.97
High Point Panthers,High Point,8.4
Hofstra Pride,Hofstra,9.49
Houston Cougars,Houston,33.43
Howard Bison,Howard,-3.19
Idaho Vandals,Idaho,1.53
Illinois Fighting Illini,Illinois,32.1
Iowa Hawkeyes,Iowa,22.44
Iowa State Cyclones,Iowa St.,32.42
Kansas Jayhawks,Kansas,24.44
Kennesaw State Owls,Kennesaw St.,0.57
Kentucky Wildcats,Kentucky,21.48
Lehigh Mountain Hawks,Lehigh,-10.37
Long Island University Sharks,LIU,-3.95
Louisville Cardinals,Louisville,25.42
McNeese Cowboys,McNeese,12.48
Miami (OH) RedHawks,Miami OH,8.26
Miami Hurricanes,Miami FL,20.68
Michigan State Spartans,Michigan St.,28.31
Michigan Wolverines,Michigan,37.59
Missouri Tigers,Missouri,15.39
NC State Wolfpack,N.C. State,19.6
Nebraska Cornhuskers,Nebraska,26.16
North Carolina Tar Heels,North Carolina,20.84
North Dakota State Bison,North Dakota St.,5.13
Northern Iowa Panthers,Northern Iowa,11.81
Ohio State Buckeyes,Ohio St.,22.24
Pennsylvania Quakers,Penn,1.47
Prairie View A&M Panthers,Prairie View A&M,-10.69
Purdue Boilermakers,Purdue,31.2
Queens University Royals,Queens,-1.44
SMU Mustangs,SMU,18.09
Saint Louis Billikens,Saint Louis,18.32
Saint Mary's Gaels,Saint Mary's,23.07
Santa Clara Broncos,Santa Clara,19.4
Siena Saints,Siena,-2.1
South Florida Bulls,South Florida,16.39
St. John's Red Storm,St. John's,25.91
TCU Horned Frogs,TCU,17.59
Tennessee State Tigers,Tennessee St.,-1.83
Tennessee Volunteers,Tennessee,26.02
Texas A&M Aggies,Texas A&M,18.67
Texas Longhorns,Texas,19.03
Texas Tech Red Raiders,Texas Tech,25.22
Troy Trojans,Troy,1.72
UCF Knights,UCF,15.04
UCLA Bruins,UCLA,21.67
UConn Huskies,Connecticut,27.87
UMBC Retrievers,UMBC,-1.67
Utah State Aggies,Utah St.,20.76
VCU Rams,VCU,17.21
Vanderbilt Commodores,Vanderbilt,27.51
Villanova Wildcats,Villanova,19.97
Virginia Cavaliers,Virginia,26.71
Wisconsin Badgers,Wisconsin,23.39
Wright State Raiders,Wright St.,2.04
