kenpom_name,rd2_pct,s16_pct,e8_pct,f4_pct,final_pct,champ_pct
Duke,99.1,85.3,69.0,52.7,33.3,21.0
Arizona,99.6,85.7,68.8,49.7,32.1,18.5
Michigan,99.5,88.2,70.9,50.2,30.4,18.4
Florida,99.8,77.9,53.2,30.1,15.8,7.5
Houston,96.9,73.5,43.6,25.1,12.9,6.1
Iowa St.,98.4,75.3,49.4,22.9,11.2,5.4
Illinois,97.0,75.5,40.8,22.3,10.7,4.6
Purdue,97.6,74.9,46.7,20.8,10.3,4.3
Connecticut,95.9,66.1,35.5,13.1,4.9,1.9
Michigan St.,91.6,57.5,32.9,12.0,4.6,1.8
Gonzaga,96.3,63.4,31.6,11.7,4.9,1.7
Vanderbilt,82.3,46.3,19.0,8.0,3.0,1.0
Virginia,93.1,53.1,23.2,7.8,2.7,1.0
Arkansas,90.7,56.2,15.9,7.2,2.7,0.8
Nebraska,92.7,48.7,18.6,7.2,2.5,0.8
St. John's,79.6,46.5,12.7,6.1,2.1,0.7
Tennessee,73.1,37.6,15.8,5.1,1.8,0.6
Alabama,84.9,49.1,12.7,5.5,1.8,0.6
Louisville,72.3,33.9,17.2,5.3,1.7,0.5
Texas Tech,78.2,42.0,11.2,4.7,1.6,0.5
Kansas,86.6,45.5,11.4,5.2,1.6,0.5
Wisconsin,83.3,39.3,9.2,3.6,1.2,0.3
BYU,60.0,23.8,9.3,2.5,0.8,0.2
Saint Mary's,60.4,17.9,6.6,2.2,0.7,0.2
UCLA,65.8,25.1,10.0,2.5,0.7,0.2
Ohio St.,61.0,10.3,4.7,1.9,0.5,0.1
Iowa,57.0,14.0,5.8,1.8,0.5,0.1
Miami FL,62.7,17.5,6.6,1.6,0.4,0.08
Kentucky,55.5,14.6,6.0,1.3,0.3,0.08
North Carolina,58.9,15.7,4.7,1.4,0.4,0.07
Utah St.,52.3,7.5,3.1,1.0,0.3,0.06
Villanova,47.7,6.8,2.7,0.8,0.2,0.05
Georgia,56.0,7.2,2.9,0.9,0.2,0.03
Clemson,43.0,8.1,2.8,0.7,0.2,0.03
Santa Clara,44.5,10.0,3.5,0.7,0.2,0.03
N.C. State,20.8,6.6,2.0,0.4,0.1,0.02
Texas A&M,39.6,8.2,2.3,0.6,0.1,0.02
Saint Louis,44.0,4.5,1.6,0.4,0.09,0.02
Texas,19.2,5.9,1.8,0.4,0.09,0.02
VCU,41.1,8.4,1.9,0.4,0.09,0.01
TCU,39.0,4.3,1.5,0.5,0.08,0.01
SMU,23.2,7.9,2.0,0.4,0.08,0.01
South Florida,27.7,7.4,2.2,0.3,0.05,0.006
Missouri,37.3,7.3,1.9,0.3,0.05,0.003
McNeese,17.7,4.4,0.6,0.08,0.01,0.002
Akron,21.8,5.4,0.4,0.07,0.009,0.002
UCF,34.2,8.4,2.1,0.3,0.03,0.001
Northern Iowa,20.4,5.8,0.6,0.1,0.01,0.001
Hofstra,15.1,3.5,0.2,0.04,0.007,0.0
Cal Baptist,13.4,2.1,0.1,0.02,0.001,0.0
High Point,16.7,2.8,0.2,0.02,0.001,0.0
Hawaii,9.3,1.7,0.07,0.006,0.001,0.0
Miami OH,3.6,0.6,0.06,0.007,0.0,0.0
North Dakota St.,8.4,1.2,0.1,0.006,0.0,0.0
Wright St.,6.9,0.7,0.04,0.005,0.0,0.0
Troy,7.3,0.7,0.04,0.003,0.0,0.0
Penn,3.0,0.4,0.02,0.001,0.0,0.0
Idaho,3.1,0.4,0.02,0.001,0.0,0.0
Siena,0.9,0.09,0.006,0.001,0.0,0.0
LIU,0.4,0.03,0.002,0.001,0.0,0.0
Furman,4.1,0.4,0.02,0.0,0.0,0.0
Kennesaw St.,3.7,0.3,0.01,0.0,0.0,0.0
Queens,2.4,0.3,0.01,0.0,0.0,0.0
Tennessee St.,1.6,0.1,0.009,0.0,0.0,0.0
UMBC,0.3,0.02,0.002,0.0,0.0,0.0
Howard,0.2,0.02,0.001,0.0,0.0,0.0
Lehigh,0.1,0.005,0.0,0.0,0.0,0.0
Prairie View A&M,0.08,0.003,0.0,0.0,0.0,0.0
