,,,FTA,FTA,FTA,FTA,FTA,FTA,FGM,FGM,FGM,FGM,FGM,FGM,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,MIN,MIN,MIN,MIN,MIN,MIN,FTM,FTM,FTM,FTM,FTM,FTM,PTS,PTS,PTS,PTS,PTS,PTS,FGA,FGA,FGA,FGA,FGA,FGA,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Arizona,A. Trier,3.85714285714,2,8,2.19306265518,27,7,6.0,2,10,2.58198889747,42,7,1.71428571429,0,4,1.38013111868,12,6,33.5714285714,16,53,11.1632901789,235,7,3.0,1,7,2.16024689947,21,7,16.7142857143,7,25,6.29058253037,117,7,11.7142857143,5,19,4.82059075613,82,7,4.28571428571,1,10,3.14718316988,30,7
12,Arizona,C. Comanche,0.666666666667,0,2,1.15470053838,2,1,1.0,0,2,1.0,3,2,0.0,0,0,0.0,0,0,5.33333333333,2,11,4.93288286232,16,3,0.666666666667,0,2,1.15470053838,2,1,2.66666666667,2,4,1.15470053838,8,3,1.33333333333,1,2,0.57735026919,4,3,0.0,0,0,0.0,0,0
12,Arizona,D. Ristic,1.4,0,4,1.6465452047,14,5,3.1,1,6,1.72884033065,31,10,0.0,0,0,0.0,0,0,16.9,10,21,3.24722103412,169,10,1.1,0,4,1.44913767462,11,5,7.3,2,13,3.86005181312,73,10,5.2,2,10,2.34757558155,52,10,0.3,0,1,0.48304589154,3,3
12,Arizona,E. Pitts,0.0,0,0,,0,0,1.0,1,1,,1,1,0.0,0,0,,0,0,16.0,16,16,,16,1,0.0,0,0,,0,0,2.0,2,2,,2,1,3.0,3,3,,3,1,2.0,2,2,,2,1
12,Arizona,G. York,2.6,0,10,3.37309617085,26,6,5.3,3,7,1.4944341181,53,10,2.7,1,4,1.25166555703,27,10,35.9,30,55,7.10946161425,359,10,2.0,0,8,2.86744175568,20,5,15.3,7,22,5.2503968104,153,10,14.5,10,21,3.20589734361,145,10,6.6,4,12,2.31900361746,66,10
12,Arizona,J. Simon,0.5,0,2,0.925820099773,4,2,0.5,0,1,0.534522483825,4,4,0.0,0,0,0.0,0,0,7.0,1,12,4.0,56,8,0.25,0,2,0.707106781187,2,1,1.25,0,4,1.48804761829,10,4,1.875,0,5,1.80772153355,15,6,0.0,0,0,0.0,0,0
12,Arizona,K. Allen,1.3,0,4,1.56702123647,13,5,3.2,0,6,1.87379590967,32,9,0.6,0,2,0.843274042712,6,4,25.8,7,47,10.4008546657,258,10,0.9,0,3,1.28668393771,9,4,7.9,0,13,4.48330235429,79,9,7.7,1,10,2.54077853335,77,10,1.6,0,4,1.34989711542,16,8
12,Arizona,K. Tarczewski,3.44444444444,0,9,2.83333333333,31,8,3.44444444444,1,7,1.87823794493,31,9,0.0,0,0,0.0,0,0,27.4444444444,15,40,7.17828515579,247,9,2.88888888889,0,7,2.26077666104,26,8,9.77777777778,5,16,3.30823887355,88,9,6.66666666667,3,14,3.2403703492,60,9,0.0,0,0,0.0,0,0
