,,,MIN,MIN,MIN,MIN,MIN,MIN,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,FTM,FTM,FTM,FTM,FTM,FTM,FTA,FTA,FTA,FTA,FTA,FTA,PTS,PTS,PTS,PTS,PTS,PTS,FGM,FGM,FGM,FGM,FGM,FGM,FGA,FGA,FGA,FGA,FGA,FGA
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Arkansas,A. Bailey,7.125,1,18,4.306844905900172,171,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,2.0,0.531609533071195,6.0,5.0,0.7916666666666666,0.0,4.0,1.1787674722451362,19.0,9.0,1.9166666666666667,0,14,3.119596778106269,46,13,0.8333333333333334,0.0,7.0,1.5227739752537621,20.0,11.0,1.4166666666666667,0.0,8.0,1.767254482466264,34.0,17.0
8,Arkansas,A. Beard,21.7,5,34,5.577973924593792,651,30,2.6333333333333333,0.0,6.0,1.5196036990935664,79.0,28.0,1.0,0.0,3.0,0.982607368881035,30.0,18.0,1.8333333333333333,0.0,6.0,1.8769625744130132,55.0,19.0,2.433333333333333,0.0,8.0,2.2846313115872894,73.0,21.0,8.1,0,16,4.588967279209471,243,27,2.6333333333333333,0.0,6.0,1.4259499757471628,79.0,27.0,6.3,0.0,9.0,2.1837961253838185,189.0,29.0
8,Arkansas,A. Cook,11.466666666666667,2,21,4.8475613018003845,344,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.0,4.0,1.2576204496597132,22.0,11.0,1.1,0.0,7.0,1.7290619342330669,33.0,12.0,3.066666666666667,0,9,2.677277739039045,92,22,1.1666666666666667,0.0,4.0,1.0854312136382618,35.0,20.0,2.6,0.0,8.0,1.8864306744895694,78.0,26.0
8,Arkansas,B. Hazen,3.1538461538461537,1,9,2.8823067684915684,41,13,0.15384615384615385,0.0,1.0,0.37553380809940534,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,1.0,0.2773500981126145,1.0,1.0,0.3076923076923077,0.0,2.0,0.7510676161988108,4.0,2.0,0.23076923076923078,0,2,0.5991446895152781,3,2,0.07692307692307693,0.0,1.0,0.2773500981126145,1.0,1.0,0.46153846153846156,0.0,2.0,0.7762500258061847,6.0,4.0
8,Arkansas,C.J. Jones,6.777777777777778,1,17,5.374838498865699,122,18,1.3333333333333333,0.0,4.0,1.328422328310143,24.0,12.0,0.6666666666666666,0.0,3.0,0.9701425001453319,12.0,7.0,0.2777777777777778,0.0,3.0,0.8264420947336313,5.0,2.0,0.3888888888888889,0.0,3.0,0.9164438231805327,7.0,3.0,2.8333333333333335,0,11,3.884357771127377,51,8,0.9444444444444444,0.0,4.0,1.3048426644944466,17.0,8.0,2.0,0.0,6.0,2.1143765594836976,36.0,12.0
8,Arkansas,D. Hannahs,24.533333333333335,17,35,4.4623585331258315,736,30,5.366666666666666,2.0,10.0,1.7904600320690718,161.0,30.0,2.1,0.0,5.0,1.4703975535606828,63.0,25.0,2.933333333333333,0.0,8.0,2.242740523883952,88.0,25.0,3.3,0.0,10.0,2.534588315887707,99.0,25.0,14.5,6,24,4.447005966823691,435,30,4.733333333333333,2.0,10.0,1.8557149999176978,142.0,30.0,10.6,5.0,19.0,3.080528391755836,318.0,30.0
8,Arkansas,D. Macon,25.333333333333332,15,33,4.396968652757639,760,30,4.866666666666666,2.0,9.0,1.6553639735893348,146.0,30.0,1.8666666666666667,0.0,6.0,1.4319827906241327,56.0,25.0,3.6666666666666665,0.0,14.0,3.437454283917531,110.0,25.0,4.166666666666667,0.0,14.0,3.760808179224186,125.0,25.0,13.133333333333333,0,30,6.021417712164455,394,29,3.8,0.0,10.0,1.9722208731310478,114.0,29.0,8.666666666666666,4.0,13.0,2.2641635942681337,260.0,30.0
8,Arkansas,D. Thomas,17.933333333333334,5,28,6.022562940129069,538,30,0.16666666666666666,0.0,1.0,0.3790490217894517,5.0,5.0,0.03333333333333333,0.0,1.0,0.18257418583505536,1.0,1.0,1.4333333333333333,0.0,6.0,1.6333450621206844,43.0,18.0,2.1,0.0,8.0,2.279594640311722,63.0,19.0,5.4,0,13,3.4300899756973298,162,28,1.9666666666666666,0.0,6.0,1.473521078171633,59.0,27.0,4.1,1.0,8.0,1.7488912743950589,123.0,30.0
