,,,MIN,MIN,MIN,MIN,MIN,MIN,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,FTM,FTM,FTM,FTM,FTM,FTM,FTA,FTA,FTA,FTA,FTA,FTA,PTS,PTS,PTS,PTS,PTS,PTS,FGM,FGM,FGM,FGM,FGM,FGM,FGA,FGA,FGA,FGA,FGA,FGA
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Arkansas,A. Bailey,6.666666666666667,4,12,3.204163957519444,40,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,2.0,0.816496580927726,2.0,1.0,0.6666666666666666,0,2,1.0327955589886444,4,2,0.3333333333333333,0.0,1.0,0.5163977794943222,2.0,2.0,0.8333333333333334,0.0,2.0,0.752772652709081,5.0,4.0
8,Arkansas,A. Beard,20.5,5,28,7.137537701787952,205,10,1.4,0.0,4.0,1.2649110640673518,14.0,8.0,0.6,0.0,2.0,0.8432740427115678,6.0,4.0,1.6,0.0,6.0,2.1186998109427604,16.0,5.0,2.6,0.0,6.0,2.590581230363393,26.0,6.0,6.4,0,16,5.4812812776251905,64,8,2.1,0.0,6.0,1.8529256146249726,21.0,8.0,4.8,0.0,8.0,2.780887148615228,48.0,9.0
8,Arkansas,A. Cook,10.9,2,21,5.384133067531753,109,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.42163702135578396,2.0,2.0,0.7,0.0,4.0,1.3374935098492586,7.0,3.0,2.6,0,6,2.4585451886114367,26,7,1.2,0.0,3.0,1.2292725943057183,12.0,6.0,3.0,0.0,5.0,1.6996731711975948,30.0,9.0
8,Arkansas,B. Hazen,2.0,1,3,1.4142135623730951,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Arkansas,C.J. Jones,2.3333333333333335,1,4,1.5275252316519468,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Arkansas,D. Hannahs,26.6,22,34,3.5962943891363146,266,10,5.2,2.0,10.0,2.250925735484551,52.0,10.0,1.9,0.0,5.0,1.728840330651992,19.0,7.0,2.9,0.0,7.0,2.4244128727957572,29.0,8.0,3.3,0.0,9.0,2.8693785622209793,33.0,8.0,14.0,6,20,4.546060565661952,140,10,4.6,2.0,8.0,1.9550504398153572,46.0,10.0,10.7,7.0,14.0,2.6267851073127395,107.0,10.0
8,Arkansas,D. Macon,26.1,21,32,3.178049716414141,261,10,4.7,2.0,7.0,1.8287822299126937,47.0,10.0,1.4,0.0,3.0,1.0749676997731399,14.0,8.0,5.1,0.0,12.0,3.5730472522297645,51.0,9.0,5.8,0.0,13.0,4.211096452627668,58.0,9.0,12.3,0,17,5.034326612809745,123,9,2.9,0.0,5.0,1.6633299933166197,29.0,9.0,8.5,4.0,12.0,2.592724864350674,85.0,10.0
8,Arkansas,D. Thomas,18.5,7,26,6.536223850375859,185,10,0.2,0.0,1.0,0.4216370213557839,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,3.0,1.1972189997378646,11.0,6.0,1.4,0.0,4.0,1.4298407059684812,14.0,6.0,4.3,0,9,2.9832867780352594,43,9,1.6,0.0,4.0,1.1737877907772674,16.0,9.0,3.4,1.0,6.0,1.505545305418162,34.0,10.0
