,,,MIN,MIN,MIN,MIN,MIN,MIN,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,FTM,FTM,FTM,FTM,FTM,FTM,FTA,FTA,FTA,FTA,FTA,FTA,PTS,PTS,PTS,PTS,PTS,PTS,FGM,FGM,FGM,FGM,FGM,FGM,FGA,FGA,FGA,FGA,FGA,FGA
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Arkansas,A. Bailey,7.277777777777778,1,18,4.687976555296169,131,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,2.0,0.5940885257860046,6.0,5.0,0.9444444444444444,0.0,4.0,1.2589548523523144,17.0,8.0,2.3333333333333335,0,14,3.4810410883561156,42,11,1.0,0.0,7.0,1.7149858514250884,18.0,9.0,1.6111111111111112,0.0,8.0,1.9745107774984456,29.0,13.0
8,Arkansas,A. Beard,22.3,16,34,4.7139211524567255,446,20,3.25,2.0,6.0,1.2513150976809202,65.0,20.0,1.2,0.0,3.0,1.0052493799000692,24.0,14.0,1.95,0.0,6.0,1.7910596686995397,39.0,14.0,2.35,0.0,8.0,2.1830688201896455,47.0,15.0,8.95,0,16,3.9533463506782525,179,19,2.9,0.0,5.0,1.1192102478745307,58.0,19.0,7.05,5.0,9.0,1.3562719801759993,141.0,20.0
8,Arkansas,A. Cook,11.75,3,21,4.677774999651909,235,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.4509525002200232,20.0,9.0,1.3,0.0,7.0,1.8945906376340316,26.0,9.0,3.3,0,9,2.8116299823936184,66,15,1.15,0.0,4.0,1.0399898784932577,23.0,14.0,2.4,0.0,8.0,1.984147702481637,48.0,17.0
8,Arkansas,B. Hazen,3.3636363636363638,1,9,3.07482445914323,37,11,0.18181818181818182,0.0,1.0,0.40451991747794525,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,1.0,0.30151134457776363,1.0,1.0,0.36363636363636365,0.0,2.0,0.8090398349558906,4.0,2.0,0.2727272727272727,0,2,0.6466697906828632,3,2,0.09090909090909091,0.0,1.0,0.30151134457776363,1.0,1.0,0.5454545454545454,0.0,2.0,0.8201995322647244,6.0,4.0
8,Arkansas,C.J. Jones,7.666666666666667,1,17,5.446711546122731,115,15,1.6,0.0,4.0,1.2983506020002016,24.0,12.0,0.8,0.0,3.0,1.01418510567422,12.0,7.0,0.3333333333333333,0.0,3.0,0.8997354108424372,5.0,2.0,0.4666666666666667,0.0,3.0,0.990430401872025,7.0,3.0,3.4,0,11,4.032014739202085,51,8,1.1333333333333333,0.0,4.0,1.3557637102737476,17.0,8.0,2.4,0.0,6.0,2.0976176963403033,36.0,12.0
8,Arkansas,D. Hannahs,23.5,17,35,4.571076114232323,470,20,5.45,2.0,8.0,1.5719582155957412,109.0,20.0,2.2,0.0,5.0,1.361114094757441,44.0,18.0,2.95,0.0,8.0,2.2118104039808415,59.0,17.0,3.3,0.0,10.0,2.430074722697789,66.0,17.0,14.75,6,24,4.4941482419978795,295,20,4.8,2.0,10.0,1.8524521444205841,96.0,20.0,10.55,5.0,19.0,3.3478194002726767,211.0,20.0
8,Arkansas,D. Macon,24.95,15,33,4.925497570376974,499,20,4.95,3.0,9.0,1.6050905860647502,99.0,20.0,2.1,0.0,6.0,1.5525869752736798,42.0,17.0,2.95,0.0,14.0,3.219594613252452,59.0,16.0,3.35,0.0,14.0,3.328900561351814,67.0,16.0,13.55,3,30,6.541165194769442,271,20,4.25,1.0,10.0,1.996707816698066,85.0,20.0,8.75,6.0,13.0,2.1490511982341367,175.0,20.0
8,Arkansas,D. Thomas,17.65,5,28,5.9051716851907825,353,20,0.15,0.0,1.0,0.36634754853252327,3.0,3.0,0.05,0.0,1.0,0.22360679774997896,1.0,1.0,1.6,0.0,6.0,1.8180382718454353,32.0,12.0,2.45,0.0,8.0,2.564432839727663,49.0,13.0,5.95,0,13,3.5758694194927134,119,19,2.15,0.0,6.0,1.5985190514644287,43.0,18.0,4.45,2.0,8.0,1.7910596686995393,89.0,20.0
