,,,MIN,MIN,MIN,MIN,MIN,MIN,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,FTM,FTM,FTM,FTM,FTM,FTM,FTA,FTA,FTA,FTA,FTA,FTA,PTS,PTS,PTS,PTS,PTS,PTS,FGM,FGM,FGM,FGM,FGM,FGM,FGA,FGA,FGA,FGA,FGA,FGA
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Arkansas,A. Bailey,7.666666666666667,2,15,4.415880433163924,69,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,1.0,0.4409585518440985,2.0,2.0,0.8888888888888888,0.0,3.0,1.1666666666666667,8.0,4.0,2.2222222222222223,0,7,2.1666666666666665,20,7,1.0,0.0,3.0,0.9999999999999999,9.0,6.0,1.7777777777777777,0.0,4.0,1.3017082793177757,16.0,8.0
8,Arkansas,A. Beard,20.6,5,28,7.805980613179444,206,10,2.6,0.0,6.0,1.8973665961010275,26.0,9.0,0.9,0.0,3.0,0.9944289260117533,9.0,6.0,1.1,0.0,6.0,2.0248456731316584,11.0,3.0,1.4,0.0,6.0,2.065591117977289,14.0,5.0,5.4,0,11,4.501851470969102,54,7,1.7,0.0,3.0,1.2516655570345725,17.0,7.0,5.3,0.0,8.0,2.869378562220979,53.0,9.0
8,Arkansas,A. Cook,7.8,2,15,4.131182235954578,78,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2.0,0.6749485577105528,3.0,2.0,0.6,0.0,4.0,1.349897115421106,6.0,2.0,1.7,0,5,2.0027758514399734,17,5,0.7,0.0,2.0,0.8232726023485645,7.0,5.0,1.6,0.0,5.0,1.4298407059684812,16.0,8.0
8,Arkansas,B. Hazen,2.3333333333333335,2,3,0.5773502691896258,7,3,0.3333333333333333,0.0,1.0,0.5773502691896258,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.5773502691896258,2.0,2.0
8,Arkansas,C.J. Jones,2.2,1,4,1.0954451150103321,11,5,0.4,0.0,1.0,0.5477225575051662,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,2,0.894427190999916,2,1,0.2,0.0,1.0,0.447213595499958,1.0,1.0,0.8,0.0,3.0,1.3038404810405297,4.0,2.0
8,Arkansas,D. Hannahs,26.1,17,35,5.425249610233001,261,10,5.9,2.0,10.0,2.2827858224351907,59.0,10.0,2.7,0.0,5.0,1.70293863659264,27.0,9.0,2.2,0.0,5.0,1.9321835661585918,22.0,7.0,2.5,0.0,6.0,2.068278940998476,25.0,7.0,15.3,9,24,4.643992535164831,153,10,5.2,3.0,10.0,2.4404006956964164,52.0,10.0,10.8,5.0,19.0,3.9384147967311813,108.0,10.0
8,Arkansas,D. Macon,24.6,18,29,3.4383458555273685,246,10,4.9,2.0,9.0,2.183269719175042,49.0,10.0,1.9,0.0,6.0,1.7919573407620817,19.0,8.0,2.8,0.0,6.0,2.250925735484551,28.0,8.0,3.3,0.0,7.0,2.7507574714370344,33.0,8.0,11.5,0,30,8.475454756727414,115,9,3.4,0.0,10.0,2.7568097504180447,34.0,9.0,8.3,4.0,13.0,2.496664441476534,83.0,10.0
8,Arkansas,D. Thomas,17.6,5,26,6.380525927469546,176,10,0.3,0.0,1.0,0.48304589153964794,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.1547005383792515,10.0,6.0,1.6,0.0,4.0,1.3498971154211057,16.0,7.0,5.0,2,9,2.98142396999972,50,10,2.0,0.0,4.0,1.4142135623730951,20.0,9.0,3.6,1.0,6.0,1.577621275493231,36.0,10.0
