team_name,seed,team_id
Howard Bison,16,47
UMBC Retrievers,16,2378
NC State Wolfpack,11,152
Texas Longhorns,11,251
Lehigh Mountain Hawks,16,2329
Prairie View A&M Panthers,16,2504
SMU Mustangs,11,2567
Miami (OH) RedHawks,11,193
Ohio State Buckeyes,8,194
TCU Horned Frogs,9,2628
Nebraska Cornhuskers,4,158
Troy Trojans,13,2653
Louisville Cardinals,6,97
South Florida Bulls,11,58
Wisconsin Badgers,5,275
High Point Panthers,12,2272
Duke Blue Devils,1,150
Siena Saints,16,2561
Vanderbilt Commodores,5,238
McNeese Cowboys,12,2377
Michigan State Spartans,3,127
North Dakota State Bison,14,2449
Arkansas Razorbacks,4,8
Hawai'i Rainbow Warriors,13,62
North Carolina Tar Heels,6,153
VCU Rams,11,2670
Michigan Wolverines,1,130
BYU Cougars,6,252
Saint Mary's Gaels,7,2608
Texas A&M Aggies,10,245
Illinois Fighting Illini,3,356
Pennsylvania Quakers,14,219
Georgia Bulldogs,8,61
Saint Louis Billikens,9,139
Gonzaga Bulldogs,3,2250
Kennesaw State Owls,14,338
Houston Cougars,2,248
Idaho Vandals,15,70
Kentucky Wildcats,7,96
Santa Clara Broncos,10,2541
Texas Tech Red Raiders,5,2641
Akron Zips,12,2006
Arizona Wildcats,1,12
Long Island University Sharks,16,112358
Virginia Cavaliers,3,258
Wright State Raiders,14,2750
Iowa State Cyclones,2,66
Tennessee State Tigers,15,2634
Alabama Crimson Tide,4,333
Hofstra Pride,13,2275
Villanova Wildcats,8,222
Utah State Aggies,9,328
Tennessee Volunteers,6,2633
Clemson Tigers,8,228
Iowa Hawkeyes,9,2294
St. John's Red Storm,5,2599
Northern Iowa Panthers,12,2460
UCLA Bruins,7,26
UCF Knights,10,2116
Purdue Boilermakers,2,2509
Queens University Royals,15,2511
Florida Gators,1,57
Kansas Jayhawks,4,2305
California Baptist Lancers,13,2856
UConn Huskies,2,41
Furman Paladins,15,231
Miami Hurricanes,7,2390
Missouri Tigers,10,142
