team_player,team_name,player,seed,weighted_ppg,actual_pts,live_exp_remaining,live_proj
Duke Blue Devils - Cameron Boozer,Duke Blue Devils,Cameron Boozer,1,22.07,63.0,2.301,113.8
Arizona Wildcats - Brayden Burries,Arizona Wildcats,Brayden Burries,1,16.39,71.0,1.512,95.8
Duke Blue Devils - Isaiah Evans,Duke Blue Devils,Isaiah Evans,1,15.64,58.0,2.301,94.0
Illinois Fighting Illini - Keaton Wagler,Illinois Fighting Illini,Keaton Wagler,3,17.5,70.0,1.368,93.9
Michigan Wolverines - Yaxel Lendeborg,Michigan Wolverines,Yaxel Lendeborg,1,14.69,57.0,2.443,92.9
Arizona Wildcats - Koa Peat,Arizona Wildcats,Koa Peat,1,14.11,70.0,1.512,91.3
Arkansas Razorbacks - Darius Acuff Jr.,Arkansas Razorbacks,Darius Acuff Jr.,4,22.67,88.0,0.0,88.0
Tennessee Volunteers - Ja'Kobi Gillespie,Tennessee Volunteers,Ja'Kobi Gillespie,6,18.05,66.0,1.189,87.5
UConn Huskies - Alex Karaban,UConn Huskies,Alex Karaban,2,11.75,66.0,1.187,79.9
Illinois Fighting Illini - David Mirkovic,Illinois Fighting Illini,David Mirkovic,3,14.96,59.0,1.368,79.5
Illinois Fighting Illini - Andrej Stojakovic,Illinois Fighting Illini,Andrej Stojakovic,3,13.39,60.0,1.368,78.3
UConn Huskies - Tarris Reed Jr.,UConn Huskies,Tarris Reed Jr.,2,13.54,61.0,1.187,77.1
Michigan Wolverines - Morez Johnson Jr.,Michigan Wolverines,Morez Johnson Jr.,1,13.25,43.0,2.443,75.4
Purdue Boilermakers - Trey Kaufman-Renn,Purdue Boilermakers,Trey Kaufman-Renn,2,14.25,74.0,0.0,74.0
Michigan Wolverines - Aday Mara,Michigan Wolverines,Aday Mara,1,12.51,43.0,2.443,73.6
Iowa Hawkeyes - Bennett Stirtz,Iowa Hawkeyes,Bennett Stirtz,9,20.12,73.0,0.0,73.0
Alabama Crimson Tide - Labaron Philon Jr.,Alabama Crimson Tide,Labaron Philon Jr.,4,21.85,73.0,0.0,73.0
Arizona Wildcats - Ivan Kharchenkov,Arizona Wildcats,Ivan Kharchenkov,1,11.13,56.0,1.512,72.8
Arizona Wildcats - Jaden Bradley,Arizona Wildcats,Jaden Bradley,1,12.61,53.0,1.512,72.1
Purdue Boilermakers - Braden Smith,Purdue Boilermakers,Braden Smith,2,12.9,67.0,0.0,67.0
Purdue Boilermakers - Fletcher Loyer,Purdue Boilermakers,Fletcher Loyer,2,15.05,64.0,0.0,64.0
Nebraska Cornhuskers - Pryce Sandfort,Nebraska Cornhuskers,Pryce Sandfort,4,17.41,63.0,0.0,63.0
Illinois Fighting Illini - Tomislav Ivisic,Illinois Fighting Illini,Tomislav Ivisic,3,10.34,48.0,1.368,62.1
Michigan Wolverines - Trey McKenney,Michigan Wolverines,Trey McKenney,1,10.38,35.0,2.443,60.4
Michigan Wolverines - Elliot Cadeau,Michigan Wolverines,Elliot Cadeau,1,9.91,34.0,2.443,58.2
Arkansas Razorbacks - Meleek Thomas,Arkansas Razorbacks,Meleek Thomas,4,15.46,57.0,0.0,57.0
Arizona Wildcats - Motiejus Krivas,Arizona Wildcats,Motiejus Krivas,1,10.07,40.0,1.512,55.2
Tennessee Volunteers - Nate Ament,Tennessee Volunteers,Nate Ament,6,17.18,34.0,1.189,54.4
Texas Longhorns - Tramon Mark,Texas Longhorns,Tramon Mark,11,12.48,54.0,0.0,54.0
Duke Blue Devils - Cayden Boozer,Duke Blue Devils,Cayden Boozer,1,8.17,35.0,2.301,53.8
Vanderbilt Commodores - Tyler Tanner,Vanderbilt Commodores,Tyler Tanner,5,17.81,53.0,0.0,53.0
High Point Panthers - Rob Martin,High Point Panthers,Rob Martin,12,16.94,53.0,0.0,53.0
Kentucky Wildcats - Otega Oweh,Kentucky Wildcats,Otega Oweh,7,16.93,53.0,0.0,53.0
Iowa State Cyclones - Nate Heise,Iowa State Cyclones,Nate Heise,2,4.01,52.0,0.0,52.0
UConn Huskies - Braylon Mullins,UConn Huskies,Braylon Mullins,2,12.09,37.0,1.187,51.4
Houston Cougars - Emanuel Sharp,Houston Cougars,Emanuel Sharp,2,14.84,51.0,0.0,51.0
VCU Rams - Terrence Hill Jr.,VCU Rams,Terrence Hill Jr.,11,14.68,51.0,0.0,51.0
Michigan State Spartans - Coen Carr,Michigan State Spartans,Coen Carr,3,11.91,51.0,0.0,51.0
Alabama Crimson Tide - Latrell Wrightsell,Alabama Crimson Tide,Latrell Wrightsell,4,11.92,50.0,0.0,50.0
Michigan Wolverines - Nimari Burnett,Michigan Wolverines,Nimari Burnett,1,8.81,28.0,2.443,49.5
Texas Longhorns - Matas Vokietaitis,Texas Longhorns,Matas Vokietaitis,11,15.73,49.0,0.0,49.0
Kansas Jayhawks - Darryn Peterson,Kansas Jayhawks,Darryn Peterson,4,19.64,49.0,0.0,49.0
St. John's Red Storm - Zuby Ejiofor,St. John's Red Storm,Zuby Ejiofor,5,16.71,49.0,0.0,49.0
Michigan Wolverines - Roddy Gayle Jr.,Michigan Wolverines,Roddy Gayle Jr.,1,6.41,33.0,2.443,48.7
Illinois Fighting Illini - Kylan Boswell,Illinois Fighting Illini,Kylan Boswell,3,11.47,33.0,1.368,48.7
Iowa State Cyclones - Tamin Lipsey,Iowa State Cyclones,Tamin Lipsey,2,12.95,47.0,0.0,47.0
Arizona Wildcats - Tobe Awaka,Arizona Wildcats,Tobe Awaka,1,9.15,33.0,1.512,46.8
St. John's Red Storm - Bryce Hopkins,St. John's Red Storm,Bryce Hopkins,5,12.97,46.0,0.0,46.0
Iowa State Cyclones - Killyan Toure,Iowa State Cyclones,Killyan Toure,2,7.36,44.0,0.0,44.0
Gonzaga Bulldogs - Graham Ike,Gonzaga Bulldogs,Graham Ike,3,19.48,44.0,0.0,44.0
Iowa Hawkeyes - Alvaro Folgueiras,Iowa Hawkeyes,Alvaro Folgueiras,9,7.19,44.0,0.0,44.0
Nebraska Cornhuskers - Braden Frager,Nebraska Cornhuskers,Braden Frager,4,11.98,44.0,0.0,44.0
Iowa State Cyclones - Milan Momcilovic,Iowa State Cyclones,Milan Momcilovic,2,17.39,43.0,0.0,43.0
Michigan State Spartans - Carson Cooper,Michigan State Spartans,Carson Cooper,3,10.87,43.0,0.0,43.0
Tennessee Volunteers - J.P. Estrella,Tennessee Volunteers,J.P. Estrella,6,10.38,30.0,1.189,42.3
Purdue Boilermakers - Oscar Cluff,Purdue Boilermakers,Oscar Cluff,2,11.2,42.0,0.0,42.0
Tennessee Volunteers - Felix Okpara,Tennessee Volunteers,Felix Okpara,6,8.3,31.0,1.189,40.9
Texas Longhorns - Jordan Pope,Texas Longhorns,Jordan Pope,11,14.08,40.0,0.0,40.0
Texas Longhorns - Dailyn Swain,Texas Longhorns,Dailyn Swain,11,16.74,40.0,0.0,40.0
Miami Hurricanes - Malik Reneau,Miami Hurricanes,Malik Reneau,7,18.01,40.0,0.0,40.0
High Point Panthers - Cam'Ron Fletcher,High Point Panthers,Cam'Ron Fletcher,12,11.14,39.0,0.0,39.0
Purdue Boilermakers - C.J. Cox,Purdue Boilermakers,C.J. Cox,2,8.14,39.0,0.0,39.0
Louisville Cardinals - Ryan Conwell,Louisville Cardinals,Ryan Conwell,6,18.79,39.0,0.0,39.0
Houston Cougars - Kingston Flemings,Houston Cougars,Kingston Flemings,2,15.26,38.0,0.0,38.0
Arkansas Razorbacks - Billy Richmond III,Arkansas Razorbacks,Billy Richmond III,4,10.49,38.0,0.0,38.0
Iowa Hawkeyes - Tate Sage,Iowa Hawkeyes,Tate Sage,9,4.8,38.0,0.0,38.0
Arkansas Razorbacks - Malique Ewin,Arkansas Razorbacks,Malique Ewin,4,9.07,38.0,0.0,38.0
Iowa Hawkeyes - Cooper Koch,Iowa Hawkeyes,Cooper Koch,9,8.72,37.0,0.0,37.0
Duke Blue Devils - Dame Sarr,Duke Blue Devils,Dame Sarr,1,6.68,21.0,2.301,36.4
Arizona Wildcats - Anthony Dell'Orso,Arizona Wildcats,Anthony Dell'Orso,1,9.39,22.0,1.512,36.2
Kentucky Wildcats - Denzel Aberdeen,Kentucky Wildcats,Denzel Aberdeen,7,13.16,36.0,0.0,36.0
Virginia Cavaliers - Jacari White,Virginia Cavaliers,Jacari White,3,8.56,36.0,0.0,36.0
TCU Horned Frogs - Micah Robinson,TCU Horned Frogs,Micah Robinson,9,10.61,36.0,0.0,36.0
UConn Huskies - Solo Ball,UConn Huskies,Solo Ball,2,12.36,21.0,1.187,35.7
BYU Cougars - AJ Dybantsa,BYU Cougars,AJ Dybantsa,6,26.26,35.0,0.0,35.0
