team_player,team_name,player,seed,games_played,ppg,weighted_ppg,exp_games,proj_pts,w_proj_pts,home_ppg,away_ppg,home_away_diff,max_pts_l15,three_pm,three_pa,kenpom_exp_games,kenpom_proj,kenpom_nl_exp_games,kenpom_nl_proj
Duke Blue Devils - Cameron Boozer,Duke Blue Devils,Cameron Boozer,1,34,22.5,22.07,4.3,96.75,94.9,22.14,23.17,-1.03,32,1.53,3.74,5.1,112.56,4.394,96.98
Arizona Wildcats - Brayden Burries,Arizona Wildcats,Brayden Burries,1,34,15.94,16.39,4.3,68.54,70.48,15.05,17.58,-2.54,31,1.62,4.41,4.96,81.29,4.359,71.44
Duke Blue Devils - Isaiah Evans,Duke Blue Devils,Isaiah Evans,1,34,14.88,15.64,4.3,63.98,67.25,14.68,15.25,-0.57,32,2.71,7.41,5.1,79.76,4.394,68.72
Michigan Wolverines - Yaxel Lendeborg,Michigan Wolverines,Yaxel Lendeborg,1,34,14.56,14.69,4.3,62.61,63.17,13.68,16.17,-2.48,27,1.56,4.41,4.82,70.81,4.392,64.52
Iowa State Cyclones - Milan Momcilovic,Iowa State Cyclones,Milan Momcilovic,2,34,17.09,17.39,3.7,63.23,64.34,17.81,15.92,1.89,29,3.74,7.53,3.85,66.95,3.572,62.12
Florida Gators - Thomas Haugh,Florida Gators,Thomas Haugh,1,32,17.09,16.41,4.3,73.49,70.56,15.95,19.0,-3.05,27,1.75,5.28,4.11,67.45,3.768,61.83
Arkansas Razorbacks - Darius Acuff Jr.,Arkansas Razorbacks,Darius Acuff Jr.,4,33,22.94,22.67,2.6,59.64,58.94,22.38,24.44,-2.07,37,2.58,5.79,2.73,61.89,2.727,61.82
Arizona Wildcats - Koa Peat,Arizona Wildcats,Koa Peat,1,31,13.61,14.11,4.3,58.52,60.67,13.81,13.2,0.61,25,0.19,0.61,4.96,69.99,4.359,61.51
Illinois Fighting Illini - Keaton Wagler,Illinois Fighting Illini,Keaton Wagler,3,32,17.91,17.5,3.0,53.73,52.5,17.2,19.08,-1.88,34,2.31,5.75,3.65,63.88,3.463,60.6
Iowa State Cyclones - Joshua Jefferson,Iowa State Cyclones,Joshua Jefferson,2,34,16.85,16.88,3.7,62.35,62.46,17.24,16.23,1.01,22,1.12,3.24,3.85,64.99,3.572,60.3
Gonzaga Bulldogs - Graham Ike,Gonzaga Bulldogs,Graham Ike,3,29,19.72,19.48,3.0,59.16,58.44,19.94,19.46,0.48,35,0.79,2.28,3.13,60.97,3.079,59.98
Florida Gators - Alex Condon,Florida Gators,Alex Condon,1,32,14.97,15.61,4.3,64.37,67.12,15.75,13.67,2.08,26,0.28,1.66,4.11,64.16,3.768,58.82
Michigan Wolverines - Morez Johnson Jr.,Michigan Wolverines,Morez Johnson Jr.,1,34,13.15,13.25,4.3,56.54,56.97,13.82,11.92,1.9,24,0.32,0.85,4.82,63.86,4.392,58.19
Alabama Crimson Tide - Labaron Philon Jr.,Alabama Crimson Tide,Labaron Philon Jr.,4,30,21.73,21.85,2.6,56.5,56.81,21.89,21.45,0.44,29,2.33,5.8,2.58,56.37,2.54,55.5
Arizona Wildcats - Jaden Bradley,Arizona Wildcats,Jaden Bradley,1,34,13.29,12.61,4.3,57.15,54.22,11.86,15.92,-4.05,25,0.68,1.68,4.96,62.55,4.359,54.97
Michigan Wolverines - Aday Mara,Michigan Wolverines,Aday Mara,1,34,11.65,12.51,4.3,50.1,53.79,10.73,13.33,-2.61,24,0.06,0.24,4.82,60.3,4.392,54.94
Houston Cougars - Kingston Flemings,Houston Cougars,Kingston Flemings,2,34,16.35,15.26,3.7,60.5,56.46,15.14,18.58,-3.45,42,1.18,3.0,3.82,58.29,3.52,53.72
Gonzaga Bulldogs - Braden Huff,Gonzaga Bulldogs,Braden Huff,3,18,17.78,17.36,3.0,53.34,52.08,19.36,15.29,4.08,37,0.39,1.17,3.13,54.34,3.079,53.45
Texas Tech Red Raiders - JT Toppin,Texas Tech Red Raiders,JT Toppin,5,25,21.84,22.48,2.1,45.86,47.21,20.79,23.18,-2.4,31,0.64,2.28,2.42,54.4,2.377,53.43
Purdue Boilermakers - Fletcher Loyer,Purdue Boilermakers,Fletcher Loyer,2,35,13.83,15.05,3.7,51.17,55.68,14.0,13.57,0.43,30,2.8,6.66,3.75,56.44,3.503,52.72
Houston Cougars - Emanuel Sharp,Houston Cougars,Emanuel Sharp,2,34,15.32,14.84,3.7,56.68,54.91,15.5,15.0,0.5,27,2.62,7.06,3.82,56.69,3.52,52.24
Illinois Fighting Illini - David Mirkovic,Illinois Fighting Illini,David Mirkovic,3,32,13.38,14.96,3.0,40.14,44.88,14.15,12.08,2.07,27,1.53,4.12,3.65,54.6,3.463,51.81
BYU Cougars - AJ Dybantsa,BYU Cougars,AJ Dybantsa,6,34,25.26,26.26,2.0,50.52,52.52,26.15,24.0,2.15,40,1.41,4.15,1.92,50.42,1.964,51.57
Wisconsin Badgers - Nick Boyd,Wisconsin Badgers,Nick Boyd,5,34,20.56,21.68,2.1,43.18,45.53,22.0,18.73,3.27,38,1.76,4.85,2.36,51.16,2.366,51.29
Purdue Boilermakers - Trey Kaufman-Renn,Purdue Boilermakers,Trey Kaufman-Renn,2,33,13.64,14.25,3.7,50.47,52.72,14.0,13.14,0.86,27,0.06,0.39,3.75,53.44,3.503,49.92
Wisconsin Badgers - John Blackwell,Wisconsin Badgers,John Blackwell,5,33,19.03,20.87,2.1,39.96,43.83,18.83,19.27,-0.43,34,2.82,7.33,2.36,49.25,2.366,49.38
Kansas Jayhawks - Darryn Peterson,Kansas Jayhawks,Darryn Peterson,4,22,19.77,19.64,2.6,51.4,51.06,20.55,19.0,1.55,32,2.55,6.64,2.49,48.9,2.503,49.16
Arizona Wildcats - Ivan Kharchenkov,Arizona Wildcats,Ivan Kharchenkov,1,34,10.12,11.13,4.3,43.52,47.86,10.14,10.08,0.05,18,0.88,2.71,4.96,55.2,4.359,48.52
Michigan State Spartans - Jeremy Fears Jr.,Michigan State Spartans,Jeremy Fears Jr.,3,32,15.66,16.12,3.0,46.98,48.36,16.05,15.08,0.98,26,1.0,3.12,3.12,50.29,2.986,48.13
Nebraska Cornhuskers - Pryce Sandfort,Nebraska Cornhuskers,Pryce Sandfort,4,32,17.84,17.41,2.6,46.38,45.27,17.86,17.82,0.04,33,3.53,8.81,2.64,45.96,2.697,46.95
Illinois Fighting Illini - Andrej Stojakovic,Illinois Fighting Illini,Andrej Stojakovic,3,29,13.45,13.39,3.0,40.35,40.17,15.53,10.5,5.03,30,0.62,2.59,3.65,48.87,3.463,46.37
Iowa State Cyclones - Tamin Lipsey,Iowa State Cyclones,Tamin Lipsey,2,31,13.26,12.95,3.7,49.06,47.92,12.94,13.69,-0.75,20,1.23,3.94,3.85,49.86,3.572,46.26
Vanderbilt Commodores - Tyler Tanner,Vanderbilt Commodores,Tyler Tanner,5,34,19.09,17.81,2.1,40.09,37.4,18.84,19.4,-0.56,23,1.59,4.26,2.68,47.73,2.586,46.06
Duke Blue Devils - Patrick Ngongba II,Duke Blue Devils,Patrick Ngongba II,1,29,10.69,10.43,4.3,45.97,44.85,11.39,9.55,1.84,17,0.28,1.0,5.1,53.19,4.394,45.83
Florida Gators - Xaivian Lee,Florida Gators,Xaivian Lee,1,33,11.48,12.14,4.3,49.36,52.2,11.38,11.67,-0.29,24,1.55,5.48,4.11,49.9,3.768,45.74
